List of 216 lines in spectrum 1 to spectrum 10
line         frequency (Hz)
   1             0.822
   2             0.824
   3             0.825
   4             0.903
   5             0.904
   6             0.906
   7             0.922
   8             0.924
   9             0.925
  10             0.941
  11             0.943
  12             0.944
  13             1.220
  14             1.221
  15             1.223
  16             1.294
  17             1.295
  18             1.297
  19             1.552
  20             1.553
  21             1.555
  22             2.085
  23             2.086
  24             2.088
  25             2.483
  26             2.484
  27             2.486
  28             2.488
  29             2.489
  30             2.491
  31             2.492
  32             2.494
  33             2.495
  34             2.497
  35             2.498
  36             2.500
  37             2.714
  38             2.716
  39             2.717
  40             2.717
  41             2.719
  42             2.720
  43             2.721
  44             2.722
  45             2.724
  46             2.873
  47             2.874
  48             2.876
  49             2.876
  50             2.878
  51             2.879
  52             2.879
  53             2.881
  54             2.882
  55             3.275
  56             3.276
  57             3.278
  58             3.316
  59             3.317
  60             3.319
  61             3.319
  62             3.320
  63             3.322
  64             3.322
  65             3.323
  66             3.325
  67             3.325
  68             3.327
  69             3.328
  70             3.330
  71             3.331
  72             3.333
  73             3.333
  74             3.334
  75             3.336
  76             3.552
  77             3.554
  78             3.555
  79             3.689
  80             3.691
  81             3.692
  82             3.715
  83             3.717
  84             3.718
  85             3.732
  86             3.733
  87             3.735
  88             3.735
  89             3.737
  90             3.738
  91             3.739
  92             3.740
  93             3.742
  94             3.740
  95             3.741
  96             3.743
  97             3.854
  98             3.855
  99             3.857
 100             3.913
 101             3.914
 102             3.916
 103             4.392
 104             4.394
 105             4.395
 106             4.473
 107             4.474
 108             4.476
 109             4.476
 110             4.478
 111             4.479
 112             4.479
 113             4.480
 114             4.482
 115             4.482
 116             4.483
 117             4.485
 118             4.575
 119             4.576
 120             4.578
 121             4.578
 122             4.579
 123             4.581
 124             4.581
 125             4.582
 126             4.584
 127             4.584
 128             4.585
 129             4.587
 130             4.723
 131             4.725
 132             4.726
 133             6.841
 134             6.843
 135             6.844
 136             6.864
 137             6.866
 138             6.867
 139             6.895
 140             6.897
 141             6.898
 142             6.899
 143             6.901
 144             6.902
 145             6.903
 146             6.905
 147             6.906
 148             6.917
 149             6.918
 150             6.920
 151             6.921
 152             6.922
 153             6.923
 154             6.924
 155             6.926
 156             6.927
 157             7.153
 158             7.155
 159             7.156
 160             7.175
 161             7.176
 162             7.178
 163             7.229
 164             7.231
 165             7.232
 166             7.251
 167             7.252
 168             7.254
 169             7.268
 170             7.270
 171             7.271
 172             7.272
 173             7.274
 174             7.275
 175             7.276
 176             7.278
 177             7.279
 178             7.290
 179             7.291
 180             7.293
 181             7.293
 182             7.295
 183             7.296
 184             7.297
 185             7.298
 186             7.300
 187             7.536
 188             7.538
 189             7.539
 190             7.541
 191             7.542
 192             7.544
 193             7.557
 194             7.558
 195             7.560
 196             7.561
 197             7.563
 198             7.564
 199             7.690
 200             7.691
 201             7.693
 202             7.694
 203             7.695
 204             7.697
 205             7.710
 206             7.711
 207             7.713
 208             7.714
 209             7.715
 210             7.717
 211             7.939
 212             7.940
 213             7.942
 214             8.523
 215             8.525
 216             8.526
line    spectrum    amplitude (mm)
   1           1      0.23318
   1           2      0.13886
   1           3      0.08281
   1           4      0.04946
   1           5      0.02978
   1           6      0.01751
   1           7      0.01054
   1           8      0.00637
   1           9      0.00379
   1          10      0.00228
   2           1      0.55060
   2           2      0.32789
   2           3      0.19554
   2           4      0.11679
   2           5      0.07031
   2           6      0.04134
   2           7      0.02488
   2           8      0.01504
   2           9      0.00895
   2          10      0.00539
   3           1      0.21621
   3           2      0.12876
   3           3      0.07678
   3           4      0.04586
   3           5      0.02761
   3           6      0.01623
   3           7      0.00977
   3           8      0.00591
   3           9      0.00351
   3          10      0.00212
   4           1      0.03475
   4           2      0.02829
   4           3      0.02323
   4           4      0.01898
   4           5      0.01569
   4           6      0.01274
   4           7      0.01047
   4           8      0.00865
   4           9      0.00706
   4          10      0.00579
   5           1      0.08205
   5           2      0.06681
   5           3      0.05484
   5           4      0.04483
   5           5      0.03705
   5           6      0.03007
   5           7      0.02471
   5           8      0.02042
   5           9      0.01666
   5          10      0.01367
   6           1      0.03222
   6           2      0.02623
   6           3      0.02154
   6           4      0.01760
   6           5      0.01455
   6           6      0.01181
   6           7      0.00971
   6           8      0.00802
   6           9      0.00654
   6          10      0.00537
   7           1      0.00608
   7           2      0.00476
   7           3      0.00389
   7           4      0.00319
   7           5      0.00266
   7           6      0.00216
   7           7      0.00182
   7           8      0.00153
   7           9      0.00123
   7          10      0.00101
   8           1      0.01437
   8           2      0.01123
   8           3      0.00918
   8           4      0.00754
   8           5      0.00627
   8           6      0.00511
   8           7      0.00430
   8           8      0.00361
   8           9      0.00289
   8          10      0.00239
   9           1      0.00564
   9           2      0.00441
   9           3      0.00361
   9           4      0.00296
   9           5      0.00246
   9           6      0.00201
   9           7      0.00169
   9           8      0.00142
   9           9      0.00114
   9          10      0.00094
