List of 174 lines in spectrum 1 to spectrum 10
line         frequency (Hz)
   1             0.905
   2             0.906
   3             0.908
   4             0.922
   5             0.924
   6             0.925
   7             0.940
   8             0.942
   9             0.943
  10             1.221
  11             1.223
  12             1.224
  13             1.295
  14             1.296
  15             1.298
  16             1.554
  17             1.555
  18             1.557
  19             2.085
  20             2.087
  21             2.088
  22             2.483
  23             2.485
  24             2.486
  25             2.495
  26             2.497
  27             2.498
  28             2.713
  29             2.715
  30             2.716
  31             2.718
  32             2.719
  33             2.721
  34             2.723
  35             2.724
  36             2.726
  37             2.872
  38             2.873
  39             2.875
  40             2.877
  41             2.878
  42             2.880
  43             2.882
  44             2.883
  45             2.885
  46             3.047
  47             3.048
  48             3.050
  49             3.146
  50             3.147
  51             3.149
  52             3.269
  53             3.270
  54             3.272
  55             3.275
  56             3.277
  57             3.278
  58             3.316
  59             3.318
  60             3.319
  61             3.321
  62             3.323
  63             3.324
  64             3.325
  65             3.326
  66             3.328
  67             3.327
  68             3.329
  69             3.330
  70             3.328
  71             3.330
  72             3.331
  73             3.329
  74             3.330
  75             3.332
  76             3.330
  77             3.332
  78             3.333
  79             3.332
  80             3.333
  81             3.335
  82             3.334
  83             3.335
  84             3.337
  85             3.688
  86             3.689
  87             3.691
  88             3.716
  89             3.717
  90             3.719
  91             3.731
  92             3.732
  93             3.734
  94             3.735
  95             3.737
  96             3.738
  97             3.740
  98             3.742
  99             3.743
 100             3.853
 101             3.855
 102             3.856
 103             4.392
 104             4.393
 105             4.395
 106             4.474
 107             4.476
 108             4.477
 109             4.478
 110             4.479
 111             4.481
 112             4.483
 113             4.484
 114             4.486
 115             4.577
 116             4.578
 117             4.580
 118             4.583
 119             4.585
 120             4.586
 121             6.837
 122             6.839
 123             6.840
 124             6.899
 125             6.901
 126             6.902
 127             6.907
 128             6.908
 129             6.910
 130             6.921
 131             6.923
 132             6.924
 133             6.947
 134             6.948
 135             6.950
 136             7.152
 137             7.153
 138             7.155
 139             7.272
 140             7.274
 141             7.275
 142             7.283
 143             7.284
 144             7.286
 145             7.294
 146             7.296
 147             7.297
 148             7.538
 149             7.539
 150             7.541
 151             7.550
 152             7.551
 153             7.553
 154             7.561
 155             7.562
 156             7.564
 157             7.691
 158             7.692
 159             7.694
 160             7.703
 161             7.705
 162             7.706
 163             7.713
 164             7.715
 165             7.716
 166             7.935
 167             7.937
 168             7.938
 169             7.941
 170             7.943
 171             7.944
 172             8.521
 173             8.523
 174             8.524
line    spectrum    amplitude (mm)
   1           1      0.33332
   1           2      0.19542
   1           3      0.11700
   1           4      0.07032
   1           5      0.04220
   1           6      0.02423
   1           7      0.01591
   1           8      0.00850
   1           9      0.00470
   1          10      0.00522
   2           1      0.57730
   2           2      0.33847
   2           3      0.20264
   2           4      0.12179
   2           5      0.07309
   2           6      0.04197
   2           7      0.02755
   2           8      0.01473
   2           9      0.00814
   2          10      0.00904
   3           1      0.00032
   3           2      0.00019
   3           3      0.00011
   3           4      0.00007
   3           5      0.00004
   3           6      0.00002
   3           7      0.00002
   3           8      0.00001
   3           9      0.00000
   3          10      0.00000
   4           1      0.13838
   4           2      0.11238
   4           3      0.09165
   4           4      0.07490
   4           5      0.06125
   4           6      0.04953
   4           7      0.04031
   4           8      0.03305
   4           9      0.02694
   4          10      0.02191
   5           1      0.23966
   5           2      0.19464
   5           3      0.15874
   5           4      0.12972
   5           5      0.10609
   5           6      0.08578
   5           7      0.06981
   5           8      0.05724
   5           9      0.04665
   5          10      0.03794
   6           1      0.00013
   6           2      0.00011
   6           3      0.00009
   6           4      0.00007
   6           5      0.00006
   6           6      0.00005
   6           7      0.00004
   6           8      0.00003
   6           9      0.00003
   6          10      0.00002
   7           1      0.31021
   7           2      0.20208
   7           3      0.13232
   7           4      0.08704
   7           5      0.05755
   7           6      0.03739
   7           7      0.02466
   7           8      0.01631
   7           9      0.01047
   7          10      0.00712
   8           1      0.53727
   8           2      0.35000
   8           3      0.22918
   8           4      0.15075
   8           5      0.09968
   8           6      0.06476
   8           7      0.04271
   8           8      0.02825
   8           9      0.01813
   8          10      0.01233
   9           1      0.00030
   9           2      0.00019
   9           3      0.00013
   9           4      0.00008
   9           5      0.00005
   9           6      0.00004
   9           7      0.00002
   9           8      0.00002
   9           9      0.00001
   9          10      0.00001
  10           1      0.23755
  10           2      0.15465
  10           3      0.10110
  10           4      0.06670
  10           5      0.04414
  10           6      0.02867
  10           7      0.01878
  10           8      0.01232
  10           9      0.00828
  10          10      0.00529
  11           1      0.41142
  11           2      0.26784
  11           3      0.17510
  11           4      0.11551
  11           5      0.07644
  11           6      0.04965
  11           7      0.03253
  11           8      0.02134
  11           9      0.01433
  11          10      0.00916
  12           1      0.00023
  12           2      0.00015
  12           3      0.00010
  12           4      0.00006
  12           5      0.00004
  12           6      0.00003
  12           7      0.00002
  12           8      0.00001
  12           9      0.00001
  12          10      0.00001
  13           1      0.04812
  13           2      0.03943
  13           3      0.03230
  13           4      0.02653
  13           5      0.02227
  13           6      0.01831
  13           7      0.01566
  13           8      0.01339
  13           9      0.01079
  13          10      0.00900
  14           1      0.08334
  14           2      0.06830
  14           3      0.05594
  14           4      0.04595
  14           5      0.03858
  14           6      0.03172
  14           7      0.02712
  14           8      0.02318
  14           9      0.01868
  14          10      0.01559
  15           1      0.00005
  15           2      0.00004
  15           3      0.00003
  15           4      0.00003
  15           5      0.00002
  15           6      0.00002
  15           7      0.00001
  15           8      0.00001
  15           9      0.00001
  15          10      0.00001
  16           1      0.15549
  16           2      0.12841
  16           3      0.10538
  16           4      0.08572
  16           5      0.07033
  16           6      0.05740
  16           7      0.04667
  16           8      0.03844
  16           9      0.03122
  16          10      0.02554
  17           1      0.26930
  17           2      0.22239
  17           3      0.18251
  17           4      0.14847
  17           5      0.12181
  17           6      0.09942
  17           7      0.08083
  17           8      0.06658
  17           9      0.05406
  17          10      0.04423
  18           1      0.00015
  18           2      0.00012
  18           3      0.00010
  18           4      0.00008
  18           5      0.00007
  18           6      0.00005
  18           7      0.00004
  18           8      0.00004
  18           9      0.00003
  18          10      0.00002
  19           1      0.06214
  19           2      0.05119
  19           3      0.04196
  19           4      0.03437
  19           5      0.02807
  19           6      0.02281
  19           7      0.01878
  19           8      0.01525
  19           9      0.01263
  19          10      0.01022
  20           1      0.10762
  20           2      0.08866
  20           3      0.07268
  20           4      0.05952
  20           5      0.04862
  20           6      0.03950
  20           7      0.03252
  20           8      0.02640
  20           9      0.02187
  20          10      0.01770
  21           1      0.00006
  21           2      0.00005
  21           3      0.00004
  21           4      0.00003
  21           5      0.00003
  21           6      0.00002
  21           7      0.00002
  21           8      0.00001
  21           9      0.00001
  21          10      0.00001
  22           1      0.07453
  22           2      0.06053
  22           3      0.04944
  22           4      0.04071
  22           5      0.03339
  22           6      0.02744
  22           7      0.02233
  22           8      0.01844
  22           9      0.01544
  22          10      0.01243
  23           1      0.12909
  23           2      0.10484
  23           3      0.08563
  23           4      0.07051
  23           5      0.05784
  23           6      0.04752
  23           7      0.03868
  23           8      0.03194
  23           9      0.02674
  23          10      0.02154
  24           1      0.00007
  24           2      0.00006
  24           3      0.00005
  24           4      0.00004
  24           5      0.00003
  24           6      0.00003
  24           7      0.00002
  24           8      0.00002
  24           9      0.00001
  24          10      0.00001
  25           1      0.08463
  25           2      0.06968
  25           3      0.05714
  25           4      0.04658
  25           5      0.03858
  25           6      0.03144
  25           7      0.02572
  25           8      0.02088
  25           9      0.01751
  25          10      0.01412
  26           1      0.14658
  26           2      0.12068
  26           3      0.09896
  26           4      0.08067
  26           5      0.06682
  26           6      0.05446
  26           7      0.04455
  26           8      0.03616
  26           9      0.03033
  26          10      0.02446
  27           1      0.00008
  27           2      0.00007
  27           3      0.00005
  27           4      0.00004
  27           5      0.00004
  27           6      0.00003
  27           7      0.00002
  27           8      0.00002
  27           9      0.00002
  27          10      0.00001
  28           1      0.08575
  28           2      0.07092
  28           3      0.05795
  28           4      0.04759
  28           5      0.03929
  28           6      0.03218
  28           7      0.02624
  28           8      0.02159
  28           9      0.01763
  28          10      0.01445
  29           1      0.14852
  29           2      0.12283
  29           3      0.10037
  29           4      0.08243
  29           5      0.06805
  29           6      0.05574
  29           7      0.04544
  29           8      0.03740
  29           9      0.03053
  29          10      0.02503
  30           1      0.00008
  30           2      0.00007
  30           3      0.00006
  30           4      0.00005
  30           5      0.00004
  30           6      0.00003
  30           7      0.00002
  30           8      0.00002
  30           9      0.00002
  30          10      0.00001
  31           1      0.07568
  31           2      0.06195
  31           3      0.05075
  31           4      0.04178
  31           5      0.03442
  31           6      0.02789
  31           7      0.02296
  31           8      0.01899
  31           9      0.01534
  31          10      0.01270
  32           1      0.13108
  32           2      0.10729
  32           3      0.08789
  32           4      0.07236
  32           5      0.05961
  32           6      0.04830
  32           7      0.03977
  32           8      0.03289
  32           9      0.02656
  32          10      0.02200
  33           1      0.00007
  33           2      0.00006
  33           3      0.00005
  33           4      0.00004
  33           5      0.00003
  33           6      0.00003
  33           7      0.00002
  33           8      0.00002
  33           9      0.00001
  33          10      0.00001
  34           1      0.07142
  34           2      0.05879
  34           3      0.04828
  34           4      0.03930
  34           5      0.03228
  34           6      0.02641
  34           7      0.02168
  34           8      0.01766
  34           9      0.01460
  34          10      0.01181
  35           1      0.12370
  35           2      0.10182
  35           3      0.08361
  35           4      0.06807
  35           5      0.05591
  35           6      0.04574
  35           7      0.03755
  35           8      0.03058
  35           9      0.02529
  35          10      0.02046
  36           1      0.00007
  36           2      0.00006
  36           3      0.00005
  36           4      0.00004
  36           5      0.00003
  36           6      0.00003
  36           7      0.00002
  36           8      0.00002
  36           9      0.00001
  36          10      0.00001
  37           1      0.07225
  37           2      0.05845
  37           3      0.04787
  37           4      0.03938
  37           5      0.03231
  37           6      0.02616
  37           7      0.02157
  37           8      0.01788
  37           9      0.01466
  37          10      0.01217
  38           1      0.12514
  38           2      0.10123
  38           3      0.08291
  38           4      0.06820
  38           5      0.05596
  38           6      0.04531
  38           7      0.03737
  38           8      0.03097
  38           9      0.02539
  38          10      0.02108
  39           1      0.00007
  39           2      0.00006
  39           3      0.00005
  39           4      0.00004
  39           5      0.00003
  39           6      0.00002
  39           7      0.00002
  39           8      0.00002
  39           9      0.00001
  39          10      0.00001
  40           1      0.08080
  40           2      0.06570
  40           3      0.05350
  40           4      0.04398
  40           5      0.03597
  40           6      0.02968
  40           7      0.02414
  40           8      0.02021
  40           9      0.01656
  40          10      0.01346
  41           1      0.13995
  41           2      0.11378
  41           3      0.09267
  41           4      0.07617
  41           5      0.06230
  41           6      0.05141
  41           7      0.04180
  41           8      0.03500
  41           9      0.02868
  41          10      0.02331
  42           1      0.00008
  42           2      0.00006
  42           3      0.00005
  42           4      0.00004
  42           5      0.00003
  42           6      0.00003
  42           7      0.00002
  42           8      0.00002
  42           9      0.00002
  42          10      0.00001
  43           1      0.05788
  43           2      0.03759
  43           3      0.02485
  43           4      0.01647
  43           5      0.01119
  43           6      0.00739
  43           7      0.00487
  43           8      0.00350
  43           9      0.00253
  43          10      0.00139
  44           1      0.10024
  44           2      0.06511
  44           3      0.04304
  44           4      0.02853
  44           5      0.01938
  44           6      0.01280
  44           7      0.00844
  44           8      0.00606
  44           9      0.00438
  44          10      0.00241
  45           1      0.00006
  45           2      0.00004
  45           3      0.00002
  45           4      0.00002
  45           5      0.00001
  45           6      0.00001
  45           7      0.00000
  45           8      0.00000
  45           9      0.00000
  45          10      0.00000
  46           1      0.36591
  46           2      0.19586
  46           3      0.10085
  46           4      0.05119
  46           5      0.02437
  46           6      0.01237
  46           7      0.00450
  46           8      0.00140
  46           9      0.00044
  46          10      0.00174
  47           1      0.63374
  47           2      0.33921
  47           3      0.17467
  47           4      0.08866
  47           5      0.04220
  47           6      0.02143
  47           7      0.00780
  47           8      0.00243
  47           9      0.00075
  47          10      0.00302
  48           1      0.00035
  48           2      0.00019
  48           3      0.00010
