Order ID,Plate,Well,Barcode,Sample ID,Concentration,Amount,User,Description,Notes
47916,NCATS_267,A01,0403488070,NCGC00843412-01,10mM,398,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B01,0403488069,NCGC00843432-01,10mM,386,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C01,0403488085,NCGC00843431-01,10mM,364,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D01,0403487268,NCGC00686236-02,10mM,484,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E01,0403487211,NCGC00685870-02,10mM,363,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F01,0403487219,NCGC00843437-01,10mM,327,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G01,0344143176,NCGC00343980-08,10,776,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H01,0403488086,NCGC00690353-02,10mM,490,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A02,0344124913,NCGC00842962-01,10mM,460,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B02,0344124921,NCGC00689975-02,10mM,479,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C02,0202568999,NCGC00387528-01,10mM,482,Paul,211118112151 GPR17 tubes,QC before using and update note
47916,NCATS_267,D02,0344124840,NCGC00842955-01,10mM,493,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E02,0344124905,NCGC00842963-01,10mM,505,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F02,0344073067,NCGC00687133-01,10mM,512,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G02,0403497204,NCGC00846043-01,10mM,673,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H02,0403487485,NCGC00843853-01,10mM,440,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A03,0403487445,NCGC00843854-01,10mM,440,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B03,0403487477,NCGC00843841-01,10mM,584,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C03,0403487470,NCGC00843850-01,10mM,591,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D03,0403484543,NCGC00843852-01,10mM,603,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E03,0050681240,NCGC00105527-01,10mM,15,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F03,0222257155,NCGC00105527-02,10mM,85,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G03,0344088400,NCGC00685877-01,10mM,286,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H03,0344145805,NCGC00841699-01,10mM,321,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A04,0344124864,NCGC00842956-01,10mM,342,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B04,0403487260,NCGC00843419-01,10mM,559,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C04,0403487227,NCGC00843435-01,10mM,555,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D04,0403488094,NCGC00843424-01,10mM,532,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E04,0403488101,NCGC00689968-02,10mM,529,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F04,0403487252,NCGC00843406-01,10mM,532,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G04,0403487292,NCGC00843410-01,10mM,576,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H04,0403487203,NCGC00843428-01,10mM,571,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A05,0403488156,NCGC00843421-01,10mM,591,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B05,0403488157,NCGC00686215-04,10mM,593,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C05,0403488077,NCGC00843432-02,10mM,593,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D05,0403487276,NCGC00843429-01,10mM,661,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E05,0403488133,NCGC00689979-02,10mM,676,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F05,0403488125,NCGC00689970-03,10mM,701,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G05,0403493993,NCGC00846125-01,10mM,615,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H05,0403488117,NCGC00843420-01,10mM,604,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A06,0403488078,NCGC00843430-01,10mM,600,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B06,0403488141,NCGC00686215-03,10mM,661,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C06,0403488127,NCGC00843513-01,10mM,775,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D06,0403488095,NCGC00843519-01,10mM,790,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E06,0403488103,NCGC00843516-01,10mM,686,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F06,0344124832,NCGC00689982-02,10mM,343,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G06,0197550593,NCGC00423978-01,10,372,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H06,0344073780,NCGC00687089-01,10mM,428,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A07,0403487284,NCGC00843514-01,10mM,525,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B07,0403488111,NCGC00843517-01,10mM,525,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C07,0403488159,NCGC00843515-01,10mM,696,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D07,0403487416,NCGC00843912-01,10mM,591,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E07,0403487408,NCGC00843913-01,10mM,679,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,F07,0403487235,NCGC00843704-01,10mM,81,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,G07,0403488135,NCGC00843520-01,10mM,213,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,H07,0403487429,NCGC00843756-01,10mM,220,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,A08,0403487413,NCGC00843760-01,10mM,232,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,B08,0403487469,NCGC00841699-02,10mM,324,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,C08,0403487461,NCGC00846076-01,10mM,364,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,D08,0344126704,NCGC00842619-01,10mM,646,Paul,211118112151 GPR17 tubes,
47916,NCATS_267,E08,0344117187,NCGC00423978-04,10mM,663,Paul,211118112151 GPR17 tubes,
